invoice_date,total_quantity
2009-12-01,20736
2009-12-02,25657
2009-12-03,44557
2009-12-04,19550
2009-12-05,4636
2009-12-06,10864
2009-12-07,15499
2009-12-08,20982
2009-12-09,16821
2009-12-10,22482
2009-12-11,19478
2009-12-12,0
2009-12-13,11191
2009-12-14,41543
2009-12-15,25321
2009-12-16,23955
2009-12-17,14007
2009-12-18,8395
2009-12-19,0
2009-12-20,5330
2009-12-21,3559
2009-12-22,25555
2009-12-23,2090
2009-12-24,0
2009-12-25,0
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,10861
2010-01-05,10544
2010-01-06,7496
2010-01-07,10003
2010-01-08,10431
2010-01-09,0
2010-01-10,13099
2010-01-11,12780
2010-01-12,18533
2010-01-13,7321
2010-01-14,12510
2010-01-15,7592
2010-01-16,0
2010-01-17,10039
2010-01-18,9999
2010-01-19,13603
2010-01-20,8215
2010-01-21,3811
2010-01-22,8029
2010-01-23,0
2010-01-24,8548
2010-01-25,4849
2010-01-26,8381
2010-01-27,16263
2010-01-28,10305
2010-01-29,10010
2010-01-30,0
2010-01-31,8993
2010-02-01,7254
2010-02-02,9350
2010-02-03,9131
2010-02-04,11632
2010-02-05,8925
2010-02-06,0
2010-02-07,5321
2010-02-08,6477
2010-02-09,6918
2010-02-10,3267
2010-02-11,7761
2010-02-12,6597
2010-02-13,0
2010-02-14,9561
2010-02-15,11633
2010-02-16,14760
2010-02-17,12944
2010-02-18,10879
2010-02-19,12234
2010-02-20,0
2010-02-21,4288
2010-02-22,11816
2010-02-23,9509
2010-02-24,10817
2010-02-25,24904
2010-02-26,8706
2010-02-27,0
2010-02-28,8124
2010-03-01,18966
2010-03-02,5615
2010-03-03,12164
2010-03-04,15490
2010-03-05,13443
2010-03-06,0
2010-03-07,6259
2010-03-08,14062
2010-03-09,6685
2010-03-10,16839
2010-03-11,12071
2010-03-12,5184
2010-03-13,0
2010-03-14,3529
2010-03-15,13258
2010-03-16,11806
2010-03-17,13224
2010-03-18,17948
2010-03-19,12274
2010-03-20,0
2010-03-21,11858
2010-03-22,9609
2010-03-23,53942
2010-03-24,409
2010-03-25,14055
2010-03-26,12986
2010-03-27,0
2010-03-28,14560
2010-03-29,21708
2010-03-30,17307
2010-03-31,13524
2010-04-01,12753
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,11441
2010-04-07,14302
2010-04-08,25791
2010-04-09,6805
2010-04-10,0
2010-04-11,8989
2010-04-12,0
2010-04-13,6086
2010-04-14,14498
2010-04-15,10252
2010-04-16,7686
2010-04-17,0
2010-04-18,8020
2010-04-19,18584
2010-04-20,12466
2010-04-21,7526
2010-04-22,17496
2010-04-23,9410
2010-04-24,0
2010-04-25,7761
2010-04-26,15960
2010-04-27,22887
2010-04-28,16989
2010-04-29,15161
2010-04-30,17965
2010-05-01,0
2010-05-02,5504
2010-05-03,0
2010-05-04,4406
2010-05-05,13453
2010-05-06,9227
2010-05-07,22951
2010-05-08,0
2010-05-09,9732
2010-05-10,26122
2010-05-11,0
2010-05-12,10387
2010-05-13,15357
2010-05-14,12588
2010-05-15,0
2010-05-16,9100
2010-05-17,12323
2010-05-18,24080
2010-05-19,9192
2010-05-20,15264
2010-05-21,6549
2010-05-22,0
2010-05-23,9191
2010-05-24,32029
2010-05-25,10524
2010-05-26,15252
2010-05-27,17904
2010-05-28,11495
2010-05-29,0
2010-05-30,6236
2010-05-31,0
2010-06-01,8019
2010-06-02,11655
2010-06-03,10757
2010-06-04,5912
2010-06-05,0
2010-06-06,13062
2010-06-07,24951
2010-06-08,24879
2010-06-09,22270
2010-06-10,8722
2010-06-11,17414
2010-06-12,0
2010-06-13,10644
2010-06-14,13180
2010-06-15,10906
2010-06-16,17788
2010-06-17,11606
2010-06-18,5541
2010-06-19,0
2010-06-20,3425
2010-06-21,10085
